,017c_7byte
55307,00101100
55322,00010110
55336,00100101
55345,00101000
55355,00110111
55363,00011011
55385,00101110
55399,00111111
55415,00110010
55426,00111111
55442,00100110
55453,00110101
55466,00011101
55485,00111101
55500,00101111
55514,00101100
55525,00111011
55537,00001001
55555,00001111
55560,00010011
55574,00100010
55588,00011110
55610,00000101
55618,00010111
55634,00001011
55650,00010010
55669,00110101
55684,00101001
55695,00111000
55705,00110000
55726,00111010
55737,00100010
55748,00111010
55752,00110010
55765,00000101
55773,00111100
55785,00111000
55806,00101001
55828,00100010
55837,00111111
55846,00001110
55859,00110110
55874,00110111
55885,00001010
55891,00011011
55905,00000001
55917,00010000
55928,00100101
55946,00111001
55957,00001100
55963,00111000
55972,00001011
55978,00011001
55988,00101011
56000,00100111
56009,00100110
56029,00000010
56044,00010101
56055,00101101
56066,00101111
56087,00010110
56098,00001101
56114,00100101
56130,00011101
56141,00101100
56146,00100100
56160,00110011
56171,00011111
56190,00001101
56202,00100010
56217,00010011
56228,00101101
56240,00101111
56250,00111000
56260,00001011
56272,00001010
56290,00011010
56301,00100110
56306,00101010
56321,00110101
56331,00001000
56344,00100110
56354,00101010
56368,00010110
56379,00100101
56396,00001101
56413,00011000
56428,00101011
56447,00010101
56463,00011001
56479,00001010
56488,00000001
56502,00010000
56517,00101000
56539,00111100
56553,00100011
56565,00101000
56580,00000101
56592,00001010
56603,00011001
56621,00100100
56637,00100110
56651,00010100
56668,00111101
56683,00101010
56701,00101011
56711,00111010
56723,00110101
56738,00011110
56753,00000110
56764,00010101
56770,00000111
56787,00110000
56809,00000111
56825,00000011
56842,00010110
56857,00111000
56875,00111011
56886,00101111
56895,00111110
56906,00011011
56924,00110111
56937,00001010
