,017c_7byte
8835,00000110
8859,00010111
8869,00011101
8885,00001010
8897,00000100
8917,00011110
8938,00011001
8948,00101000
8959,00111111
8977,00001101
8996,00011101
9009,00111100
9017,00001001
9035,00011101
9045,00101101
9064,00111111
9077,00011001
9091,00101101
9109,00010111
9124,00101100
9139,00111000
9149,00001011
9153,00100111
9168,00110110
9179,00110100
9189,00001001
9195,00001011
9211,00001110
9227,00010011
9237,00101111
9243,00000101
9261,00001010
9277,00011010
9288,00101101
9306,00010001
9317,00111111
9336,00110011
9347,00110010
9357,00000101
9365,00011001
9375,00100101
9387,00101000
9410,00011000
9436,00011111
9452,00101111
9467,00000110
9483,00111011
9493,00000000
9526,00100001
9543,00010110
9575,00100001
9591,00110010
9601,00000101
9611,00011100
9621,00101011
9630,00000110
9647,00100111
9660,00110111
9678,00100110
9690,00111111
9700,00000010
9707,00100111
9723,00110110
9740,00000000
9750,00100101
9769,00011110
9787,00100110
9805,00111110
9818,00110111
9828,00001010
9835,00000011
9855,00000001
9864,00001101
9885,00111010
9902,00101011
9924,00111110
9927,00010001
9937,00100000
9954,00000110
9971,00100101
9984,00010101
9994,00100100
10011,00110100
10025,00011011
10036,00001110
10050,00011101
10064,00101010
10079,00111001
10086,00111011
10096,00001101
10111,00011111
10130,00010001
10150,00111100
10170,00010010
10175,00000001
10187,00010000
10196,00100000
10216,00100010
10229,00010110
10245,00110001
10257,00000101
10262,00010110
10272,00101000
10286,00100001
10308,00011010
10318,00001010
10335,00100010
10351,00011110
10369,00011011
10395,00111100
10411,00111101
10420,00011100
10436,00000011
10449,00000011
10460,00010001
10467,00100010
10481,00110010
10494,00000010
10508,00010000
10523,00100010
10538,00110100
10558,00001101
10575,00001110
10586,00110000
10600,00000011
10612,00101011
10626,00011010
10644,00101011
10661,00010001
10673,00110001
10689,00000111
10700,00010110
10713,00100000
10725,00111111
10729,00101010
10741,00111001
10747,00001101
10761,00110001
10777,00111001
10793,00011110
10806,00100000
10820,00010000
10840,00011111
10849,00111001
10876,00000110
10885,00100110
10897,00011000
10914,00011111
10927,00101110
10937,00110011
10963,00110100
10969,00100100
10979,00110011
10982,00010101
10994,00100100
11004,00100001
11016,00011101
11028,00101100
11042,00000111
11053,00010110
11056,00001101
11067,00011100
11072,00101011
11083,00111010
11095,00111111
11115,00111011
11121,00011010
11134,00011001
11146,00101000
11162,00011100
11177,00110100
11193,00000110
11204,00010101
11214,00110110
11225,00011101
11246,00110110
11259,00001001
11265,00010101
11282,00101101
11297,00010101
11313,00000111
11331,00011001
11342,00110111
11354,00001010
11373,00001001
11390,00001000
11401,00100011
11413,00110010
11425,00101000
11436,00111001
11449,00101101
11459,00111101
11478,00110011
11497,00101111
11507,00010101
11524,00110001
11543,00101011
11558,00100010
11570,00110011
11586,00111011
11591,00011010
11604,00101001
11612,00110010
11635,00000101
11641,00101111
11653,00111110
11659,00111111
11677,00101001
11689,00111000
11700,00101001
11718,00001101
11733,00000001
11750,00001001
11767,00011011
11780,00011111
11793,00101110
11812,00100100
11820,00010000
11833,00011111
11853,00111001
11867,00110001
11891,00110101
11908,00001110
11921,00110111
11939,00010100
11957,00001100
11974,00000110
11994,00100100
12012,00000110
12029,00001000
12045,00101001
12062,00100111
12076,00100100
12100,00110001
12120,00000110
12126,00001001
12136,00011000
12149,00000000
12173,00000001
12182,00100100
12202,00100100
12224,00100000
12236,00110010
12252,00111011
12267,00011101
12279,00111111
12290,00000010
12298,00001010
12312,00011001
12330,00101111
12339,00100011
12356,00110100
12370,00001010
12390,00011000
12405,00100010
12420,00110100
12431,00101111
12445,00111100
12458,00001010
12474,00001000
12487,00001010
12500,00011001
12503,00101000
12518,00110111
12529,00100101
12547,00010101
12556,00100100
12558,00011111
12566,00101110
12582,00100000
12600,00001010
12609,00000110
12620,00010101
12629,00100100
12633,00000111
12652,00100101
12668,00000100
12685,00000010
12697,00100110
12711,00111100
12721,00001001
12737,00010111
12747,00100110
12753,00010100
12764,00100011
12770,00100011
